부산중부소방서,is_a,koad:fire_station
창선119안전센터,is_a,koad:fire_station
충무119안전센터,is_a,koad:fire_station
항만소방서,is_a,koad:fire_station
영선119안전센터,is_a,koad:fire_station
청학119안전센터,is_a,koad:fire_station
부산진소방서,is_a,koad:fire_station
가야119안전센터,is_a,koad:fire_station
서동119안전센터,is_a,koad:fire_station
수안119안전센터,is_a,koad:fire_station
사직119안전센터,is_a,koad:fire_station
온천119안전센터,is_a,koad:fire_station
용당119안전센터,is_a,koad:fire_station
만덕119안전센터,is_a,koad:fire_station
금곡119안전센터,is_a,koad:fire_station
해운대소방서,is_a,koad:fire_station
센텀119안전센터,is_a,koad:fire_station
반송119안전센터,is_a,koad:fire_station
사하소방서,is_a,koad:fire_station
괴정119안전센터,is_a,koad:fire_station
하단119안전센터,is_a,koad:fire_station
금정소방서,is_a,koad:fire_station
산성산악119안전센터,is_a,koad:fire_station
강서소방서,is_a,koad:fire_station
지사119안전센터,is_a,koad:fire_station
강동119안전센터,is_a,koad:fire_station
동래소방서,is_a,koad:fire_station
연산119안전센터,is_a,koad:fire_station
남부소방서,is_a,koad:fire_station
망미119안전센터,is_a,koad:fire_station
부산북부소방서,is_a,koad:fire_station
주례119안전센터,is_a,koad:fire_station
감전119안전센터,is_a,koad:fire_station
기장소방서,is_a,koad:fire_station
119수상구조대,is_a,koad:fire_station
기장119구조대,is_a,koad:fire_station
부산중부소방서, kord:RoadNameAddress,중구 중앙동4가 83-4
창선119안전센터, kord:RoadNameAddress,중구 대청로 68-1
충무119안전센터, kord:RoadNameAddress,서구 충무대로 186
항만소방서, kord:RoadNameAddress,영도구 해양로 297
영선119안전센터, kord:RoadNameAddress,영도구 태종로 115
청학119안전센터, kord:RoadNameAddress,영도구 태종로 274
부산진소방서, kord:RoadNameAddress,부산진구 서전로 43
가야119안전센터, kord:RoadNameAddress,부산진구 가야대로 627
서동119안전센터, kord:RoadNameAddress,동래구 반송로 331
수안119안전센터, kord:RoadNameAddress,동래구 명륜로45번길 7
사직119안전센터, kord:RoadNameAddress,동래구 체육공원로 74
온천119안전센터, kord:RoadNameAddress,동래구 온천동 102-8
용당119안전센터, kord:RoadNameAddress,남구 신선로 398
만덕119안전센터, kord:RoadNameAddress,북구 함박봉로 142
금곡119안전센터, kord:RoadNameAddress,북구 금곡대로616번길 151
해운대소방서, kord:RoadNameAddress,해운대구 해운대해변로 106
센텀119안전센터, kord:RoadNameAddress,해운대구 센텀동로 50
반송119안전센터, kord:RoadNameAddress,해운대구 아랫반송로 10
사하소방서, kord:RoadNameAddress,사하구 장평로 270
괴정119안전센터, kord:RoadNameAddress,사하구 낙동대로 262
하단119안전센터, kord:RoadNameAddress,사하구 낙동남로 1407
금정소방서, kord:RoadNameAddress,금정구 중앙대로 1789
산성산악119안전센터, kord:RoadNameAddress,금정구 산성로 396
강서소방서, kord:RoadNameAddress,강서구 녹산산단361로 9
지사119안전센터, kord:RoadNameAddress,강서구 과학산단로333번길 3
강동119안전센터, kord:RoadNameAddress,강서구 제도로 696
동래소방서, kord:RoadNameAddress,연제구 고분로 216
연산119안전센터, kord:RoadNameAddress,연제구 고분로 216
남부소방서, kord:RoadNameAddress,수영구 광일로 64
망미119안전센터, kord:RoadNameAddress,수영구 연수로 330
부산북부소방서, kord:RoadNameAddress,사상구 삼덕로 17
주례119안전센터, kord:RoadNameAddress,사상구 양지로 22
감전119안전센터, kord:RoadNameAddress,사상구 가야대로 41
기장소방서, kord:RoadNameAddress,기장군 정관읍 용수로 7
119수상구조대, kord:RoadNameAddress,기장군 일광면 삼성3길 17
기장119구조대, kord:RoadNameAddress,기장군 정관읍 정관로 923-9
부산중부소방서,contact:phone,051-760-4180
창선119안전센터,contact:phone,051-760-6141
